c0t0v1	c0t1v1	c0t2v1	c0t3v1	c0t4v1	c1t0v1	c1t1v1	c1t2v1	c1t3v1	c1t4v1	c2t0v1	c2t1v1	c2t2v1	c2t3v1	c2t4v1	c3t0v1	c3t1v1	c3t2v1	c3t3v1	c3t4v1	c4t0v1	c4t1v1	c4t2v1	c4t3v1	c4t4v1	c5t0v1	c5t1v1	c5t2v1	c5t3v1	c5t4v1	
11.07312	12.92261	16.17212	4.421997	14.03601	10.91589	11.39368	16.48499	7.95166	12.78137	7.199585	11.49548	4.828735	5.505005	9.59729	14.20422	18.04565	17.82996	17.00452	15.15845	11.3855	8.370605	7.388184	5.970703	6.115601	11.29102	10.24304	5.419678	12.02136	5.437012	
12.65259	17.48022	19.99854	17.51416	23.72021	10.14429	15.39893	12.22827	13.09399	9.679688	19.32764	13.32544	9.281982	31.32178	8.460205	20.81885	24.58545	23.71143	11.28613	27.12549	9.155273	13.56934	7.982422	11.68604	9.837402	20.72803	14.7124	13.78418	18.18311	7.627441	
12.39063	21.57813	22.65771	22.72266	16.65137	15.74219	11.18799	6.038086	9.442383	8.50293	31.2998	18.18018	27.53027	14.43945	19.59912	34.83496	12.29639	17.24316	13.25977	25.46582	18.96289	13.13232	9.962402	15.99756	10.03125	13.97412	13.55713	13.57568	4.876465	8.79834	
19.41504	15.36597	16.4906	18.72504	19.87091	8.727173	7.854614	15.4975	11.19849	11.34753	9.275024	11.77676	19.37128	29.85971	12.30692	13.91064	20.0166	24.55076	8.937691	28.39553	11.76256	6.673706	6.959167	13.0545	7.715195	10.17575	10.15503	6.193481	5.755005	9.070953	
32.13159	59.07947	39.78394	37.44275	54.5918	12.10815	18.14502	21.50488	10.93042	7.685303	10.32422	17.89771	4.629883	17.64355	6.231689	55.09631	31.05554	33.09338	56.81958	46.62769	36.95453	58.15863	38.31488	14.71802	68.06903	154.7109	42.13855	68.04175	89.38586	61.17712	
45.29077	29.06152	62.77881	14.29565	48.96948	10.58228	4.928223	20.56177	9.317139	9.468994	13.69141	16.60034	7.967529	9.296143	12.0376	54.96484	29.53882	20.71753	27.93433	13.66992	3.692627	5.527588	8.940186	5.494629	8.097412	28.72314	8.936768	13.66797	8.738525	9.368164	
36.60938	17.45264	23.05469	13.84131	20.60889	23.31543	10.69043	10.63672	10.99512	11.63135	14.74609	7.171387	22.0166	5.772461	12.80273	18.00244	16.72217	34.32422	26.19482	13.4707	7.347656	6.645508	11.10254	25.14307	10.43311	10.07764	15.77539	9.831055	13.41797	10.92725	
23.65918	24.81201	22.88818	18.3833	19.39404	30.53076	15.85889	13.93164	11.104	13.68555	12.64404	29.06494	15.62695	21.07129	7.038086	27.08496	19.45605	22.2832	13.63818	24.87744	11.18408	7.986816	11.68018	13.82861	10.57617	14.38477	15.46094	11.06641	9.128418	6.109863	
13.38007	21.30219	20.39612	16.44281	19.84119	11.45963	15.19229	8.399658	10.01813	7.699371	7.127687	17.3198	15.20966	12.09636	11.56964	25.99358	20.16423	28.16986	18.53992	31.72305	5.195465	8.389069	7.295319	8.301758	10.82355	19.38336	11.54163	10.78021	9.876465	9.842529	
12.0293	9.988281	11.74487	12.8252	10.2417	5.573242	10.99194	7.962036	8.782104	6.332275	10.27637	8.935059	7.942749	18.52966	8.812012	11.50281	10.9928	10.58496	24.91052	8.65625	9.014038	9.025269	7.205444	7.216309	6.748169	7.719238	10.44409	13.1615	7.951294	8.379028	
