u	c	t0v15	t1v15	t2v15	t3v15	t4v15	t5v15	t6v15	t7v15	t8v15	t9v15	
9	6	496.498	599.468	541.785	427.712	601.964	407.244	411.721	395.449	775.012	901.035	
9	7	485.893	249.211	264.077	302.909	920.743	156.288	503.377	249.376	262.788	240.312	
9	8	250.965	1104.909	179.918	301.931	230.320	224.016	460.427	1167.812	313.082	484.832	
10	1	259.593	344.530	237.911	618.403	794.816	1891.268	870.986	443.489	1608.273	491.759	
10	2	448.331	555.142	347.292	1236.408	284.176	510.377	1235.189	2575.066	460.782	1116.406	
10	3	569.880	269.371	481.947	277.784	354.470	206.700	241.683	392.053	529.267	405.844	
10	4	808.186	558.700	590.651	444.705	412.732	266.853	982.989	498.769	1786.402	487.784	
10	5	416.497	524.534	774.893	680.594	647.524	524.613	280.739	400.273	417.276	675.013	
10	6	304.393	580.788	367.331	296.764	383.339	316.011	584.357	403.996	477.903	365.217	
10	7	312.076	578.679	630.841	279.477	68.520	290.006	224.178	374.545	790.191	461.818	
10	8	703.644	788.025	215.837	597.384	301.313	318.968	1211.464	512.092	431.525	225.648	
11	1	326.613	842.155	521.854	697.119	346.487	667.343	225.045	804.386	278.783	566.119	
11	2	735.464	715.856	480.656	238.431	355.878	1028.554	509.843	271.555	731.437	561.890	
11	3	907.578	1010.839	948.399	370.630	219.174	533.572	352.994	321.909	356.666	548.849	
11	4	437.139	166.711	174.168	1667.845	532.617	336.200	250.577	222.097	358.565	913.837	
11	5	643.560	419.688	809.198	429.553	461.507	1580.709	1012.030	699.864	1937.594	769.607	
11	6	483.688	328.915	522.959	878.256	1238.646	979.763	742.779	320.173	298.278	537.058	
11	7	255.563	326.080	316.860	438.263	241.286	157.696	610.198	256.730	233.367	331.061	
11	8	1235.391	1177.688	1233.174	133.106	581.671	280.265	404.205	264.438	567.690	215.002	
12	1	238.149	290.291	425.665	370.275	285.849	269.743	228.141	385.153	813.453	244.386	
12	2	285.423	171.331	424.012	187.666	423.116	266.243	200.947	241.046	316.013	380.602	
12	3	138.616	146.538	140.130	135.479	91.634	173.203	224.977	178.514	384.756	132.386	
12	4	278.193	313.149	182.534	233.970	167.739	271.896	370.207	213.849	286.055	325.098	
12	5	406.975	336.234	207.874	366.141	170.076	281.859	178.478	468.534	457.407	222.686	
12	6	559.704	324.665	260.695	211.979	250.500	260.304	307.767	212.712	213.350	360.670	
12	7	414.939	102.126	116.395	207.627	94.649	108.190	100.656	215.183	123.661	150.384	
12	8	287.775	255.224	218.971	186.607	267.434	175.233	234.931	174.488	281.928	212.828	
13	1	322.300	251.044	264.019	303.280	577.926	383.310	543.464	847.713	899.102	192.110	
13	2	232.977	272.763	323.413	173.278	328.823	988.768	672.663	241.764	227.816	412.892	
13	3	142.414	467.656	405.531	156.540	103.405	369.393	222.172	66.668	310.136	234.966	
13	4	229.355	355.101	181.552	203.444	541.728	506.141	160.130	153.917	255.345	251.805	
13	5	1174.875	703.697	241.460	323.594	343.176	269.726	278.202	291.348	324.477	428.725	
13	6	340.650	164.611	461.965	259.835	370.845	343.126	335.391	591.387	346.416	254.374	
13	7	217.207	451.277	149.078	336.893	200.198	407.451	136.151	289.973	398.788	409.025	
13	8	897.820	636.680	305.458	365.858	225.389	379.831	157.241	1227.146	242.164	138.022	
14	1	624.917	1308.887	1341.448	497.029	279.936	157.404	71.626	128.618	159.036	307.626	
14	2	1116.421	707.876	524.018	882.611	381.409	216.120	232.159	1130.857	422.391	1036.456	
14	3	415.567	60.362	200.283	223.877	304.216	449.559	241.677	188.185	109.955	64.028	
14	4	685.876	824.114	88.500	53.659	89.369	534.309	537.907	804.751	200.677	572.654	
14	5	506.519	381.233	446.633	857.759	519.954	334.163	1081.015	912.458	771.967	421.223	
14	6	696.157	1069.475	917.636	605.765	447.936	388.892	158.128	17.175	97.919	180.857	
14	7	494.343	782.804	287.575	523.025	450.818	497.235	554.913	113.551	93.754	280.740	
14	8	314.186	442.972	648.167	363.357	1346.389	728.496	450.161	116.658	1496.674	163.961	
15	1	349.795	309.909	489.932	463.912	300.001	302.082	327.798	264.379	608.259	308.094	
15	2	609.281	384.255	241.596	399.293	406.509	496.186	460.907	461.601	314.049	455.270	
15	3	129.198	161.068	189.461	154.315	246.576	108.907	145.187	177.987	294.523	1216.288	
15	4	425.773	209.254	237.875	197.774	186.940	204.385	227.909	189.844	296.217	308.466	
15	5	567.864	436.203	406.129	260.109	276.559	424.718	284.007	386.685	269.942	231.057	
15	6	362.787	493.215	366.790	328.416	284.625	305.359	233.505	625.164	565.769	290.131	
15	7	271.286	464.215	110.619	274.203	451.730	613.281	248.881	331.364	246.420	326.796	
15	8	568.009	304.128	304.755	623.717	128.961	358.181	379.476	190.425	192.166	187.602	
