u	c	t0v14	t1v14	t2v14	t3v14	t4v14	t5v14	t6v14	t7v14	t8v14	t9v14	
6	4	160.139	342.056	268.380	424.465	255.712	189.280	374.571	388.670	257.423	233.539	
6	5	326.965	201.312	444.585	397.890	386.499	359.358	418.970	669.253	630.668	359.216	
6	6	933.642	465.668	324.805	447.473	369.116	549.877	522.830	290.759	637.013	602.583	
6	7	316.020	329.197	118.724	51.230	181.552	337.497	230.285	159.831	161.107	69.071	
6	8	250.002	375.158	268.507	431.532	216.979	305.242	379.726	327.562	215.913	466.514	
7	1	96.241	190.469	201.130	247.112	191.915	312.282	472.936	251.215	314.046	657.512	
7	2	291.660	485.851	456.115	563.604	537.110	486.210	263.483	164.517	1000.351	527.927	
7	3	131.315	140.901	78.243	423.495	287.786	99.181	195.728	209.512	98.441	139.136	
7	4	346.272	227.924	339.443	202.505	403.134	282.653	177.679	963.550	177.532	243.894	
7	5	770.705	199.700	258.834	436.319	431.184	247.250	323.014	321.051	524.071	401.292	
7	6	236.792	387.283	1134.469	521.915	210.492	343.226	481.223	187.310	285.871	329.461	
7	7	190.229	348.329	231.410	141.865	100.463	351.572	159.792	106.945	87.680	63.744	
7	8	301.971	282.968	235.200	616.602	630.189	338.471	290.320	176.721	365.878	125.988	
8	1	1283.109	224.341	704.061	317.420	642.002	333.896	887.274	283.040	253.868	187.647	
8	2	318.997	633.564	924.242	280.456	548.288	307.738	286.479	352.374	565.953	1445.448	
8	3	455.309	157.167	242.530	288.688	192.839	271.570	241.518	80.696	947.669	135.282	
8	4	588.080	91.246	254.798	182.175	788.276	185.067	188.198	211.262	148.393	118.526	
8	5	453.745	530.308	467.554	285.411	650.101	222.489	395.766	315.110	455.918	633.750	
8	6	683.713	427.913	560.014	675.062	187.182	1114.652	163.480	367.104	420.137	686.830	
8	7	304.394	668.976	1002.070	200.419	106.064	247.656	200.296	92.533	519.012	273.440	
8	8	394.982	281.974	160.452	291.930	390.738	374.989	246.781	121.682	637.948	296.926	
9	1	435.763	1036.099	851.041	305.182	674.162	241.283	1192.409	344.554	262.412	382.895	
9	2	595.734	661.064	212.031	1613.655	856.824	714.060	1149.773	628.600	424.580	855.944	
9	3	351.846	103.612	180.948	306.421	104.760	572.234	109.699	499.539	157.718	182.692	
9	4	239.626	263.693	480.947	413.134	270.297	384.357	322.376	179.912	982.960	209.921	
9	5	504.616	854.124	566.549	659.310	398.757	498.790	386.756	525.535	519.809	455.660	
9	6	468.732	547.563	465.057	427.712	546.846	407.244	399.149	344.398	685.479	901.035	
9	7	458.934	241.998	221.166	297.412	533.685	137.344	481.717	236.206	262.788	240.312	
9	8	250.965	1034.604	170.943	287.500	206.846	216.499	409.716	811.142	313.082	326.579	
10	1	173.193	344.530	237.911	545.805	745.176	1846.002	740.982	443.489	1098.250	406.542	
10	2	448.331	555.142	347.292	1236.408	284.176	510.377	1183.490	2543.532	430.349	965.353	
10	3	569.880	237.858	241.722	179.563	354.470	155.679	167.679	287.066	529.267	267.652	
10	4	623.620	558.700	540.461	444.705	351.778	221.388	886.553	498.769	1430.972	441.401	
10	5	384.563	480.763	774.893	680.594	414.210	524.613	213.100	355.882	417.276	542.296	
10	6	217.745	580.788	367.331	296.764	383.339	316.011	584.357	403.996	429.972	254.162	
10	7	312.076	496.174	530.593	227.110	68.520	237.981	173.230	324.489	774.919	355.471	
10	8	663.266	788.025	149.402	458.798	275.302	318.968	1147.831	466.080	309.070	164.579	
11	1	326.613	842.155	427.997	619.349	265.066	667.343	225.045	748.583	278.783	467.031	
11	2	735.464	715.856	444.760	238.431	207.258	1028.554	509.843	271.555	628.437	561.890	
11	3	569.549	684.203	739.498	325.145	189.976	282.153	282.465	283.220	311.471	442.265	
11	4	402.032	166.711	174.168	1622.163	519.441	336.200	210.201	222.097	236.052	913.837	
11	5	643.560	184.279	809.198	429.553	461.507	1516.351	937.108	699.864	1839.256	769.607	
11	6	424.772	328.915	460.628	579.039	1238.646	979.763	680.767	303.216	298.278	537.058	
11	7	255.563	307.112	316.860	438.263	170.791	157.696	569.056	256.730	201.245	313.797	
11	8	1192.602	706.693	565.511	133.106	518.505	280.265	202.504	264.438	501.983	205.850	
12	1	238.149	290.291	425.665	318.326	252.669	269.743	228.141	385.153	754.976	244.386	
12	2	285.423	171.331	424.012	144.681	423.116	238.896	200.947	241.046	316.013	330.029	
12	3	108.691	134.203	111.115	100.166	81.382	159.073	209.532	178.514	364.201	88.634	
12	4	278.193	142.080	182.534	206.028	148.827	212.909	289.747	186.992	217.934	256.126	
12	5	365.434	336.234	184.724	287.371	140.874	261.265	178.478	415.217	457.407	222.686	
12	6	559.704	211.094	260.695	211.979	188.437	260.304	225.559	146.847	213.350	302.340	
12	7	380.066	65.705	98.314	131.767	94.649	90.676	100.656	179.662	123.661	150.384	
12	8	238.411	255.224	192.313	162.055	263.953	144.954	234.931	174.488	281.928	212.828	
13	1	322.300	203.138	264.019	238.373	552.260	306.226	543.464	818.141	871.159	192.110	
13	2	187.166	205.394	323.413	173.278	263.624	988.768	672.663	181.798	227.816	378.149	
13	3	142.414	467.656	405.531	156.540	103.405	329.147	199.976	66.668	310.136	234.966	
13	4	171.387	355.101	161.703	168.634	505.589	413.598	160.130	153.917	255.345	205.607	
13	5	1116.592	639.508	206.687	159.034	249.400	216.411	228.677	291.348	324.477	239.062	
13	6	232.691	164.611	421.515	217.205	370.845	310.685	219.363	262.475	252.020	254.374	
13	7	150.368	451.277	124.909	326.999	179.466	364.752	136.151	255.149	366.829	389.993	
13	8	897.820	584.367	305.458	365.858	184.033	379.831	157.241	1227.146	198.559	138.022	
14	1	624.917	1096.303	1341.448	497.029	279.936	109.511	71.626	128.618	159.036	177.135	
14	2	1116.421	657.278	524.018	838.767	339.277	196.131	232.159	1089.997	422.391	1036.456	
14	3	356.331	60.362	173.023	177.359	192.619	314.935	227.538	178.067	109.955	64.028	
14	4	647.991	819.383	36.788	9.689	89.369	534.309	520.033	796.834	200.677	530.164	
14	5	401.970	381.233	446.633	857.759	449.868	334.163	1081.015	812.678	771.967	421.223	
14	6	696.157	1038.684	917.636	605.765	270.414	367.266	6.764	8.186	75.034	155.586	
14	7	464.392	725.112	257.903	505.368	249.964	287.975	535.494	106.241	93.754	280.740	
14	8	314.186	371.392	648.167	349.257	1289.742	678.853	390.843	105.091	1413.230	155.266	
15	1	318.100	309.909	489.932	463.912	300.001	302.082	327.798	206.745	537.798	257.655	
15	2	609.281	384.255	241.596	399.293	406.509	496.186	460.907	461.601	314.049	455.270	
15	3	129.198	161.068	189.461	131.423	246.576	108.907	145.187	177.987	294.523	347.954	
15	4	425.773	209.254	197.639	197.774	155.097	171.583	227.909	189.844	227.478	308.466	
15	5	499.598	384.703	388.761	260.109	276.559	424.718	284.007	298.941	269.942	231.057	
15	6	313.094	493.215	366.790	305.857	258.864	305.359	203.307	548.137	565.769	290.131	
15	7	225.171	443.820	110.619	185.804	379.500	552.069	190.758	310.535	188.790	283.190	
15	8	448.385	304.128	304.755	558.943	128.961	358.181	379.476	190.425	192.166	187.602	
16	1	261.320	218.645	170.192	618.893	442.498	214.158	255.540	493.556	471.597	270.648	
16	2	664.259	269.156	480.879	350.332	361.035	1090.974	377.666	653.355	414.552	901.631	
16	3	148.447	399.299	164.898	139.380	333.092	641.564	247.683	275.408	168.517	256.809	
16	4	543.193	369.173	600.650	427.311	195.830	338.591	151.798	405.293	160.603	654.445	
16	5	357.087	239.110	147.229	170.475	231.630	216.185	376.677	280.030	492.228	248.195	
16	6	171.121	485.798	307.784	241.255	235.654	809.192	426.042	1000.239	667.796	1307.916	
16	7	158.213	157.207	80.476	114.771	103.173	219.967	254.330	204.244	816.398	221.762	
16	8	238.519	294.648	280.699	225.288	191.793	202.815	132.559	280.355	458.857	287.424	
17	1	254.870	656.371	393.399	381.238	768.052	183.537	315.095	999.921	209.481	266.970	
17	2	375.443	275.203	236.834	235.168	516.155	285.365	457.155	465.655	319.605	510.075	
17	3	243.923	174.727	210.736	500.391	120.848	229.319	197.199	124.147	166.371	172.994	
17	4	296.288	205.069	244.641	229.848	331.470	216.695	349.444	416.978	240.930	247.104	
17	5	445.363	552.894	463.458	228.978	503.700	346.537	407.017	315.972	374.011	277.159	
17	6	257.263	319.216	322.649	343.929	672.049	506.649	330.769	231.588	263.591	483.826	
17	7	318.808	124.441	94.775	164.638	124.232	107.383	400.799	167.246	123.543	278.066	
17	8	479.856	264.744	467.334	320.307	243.565	305.918	429.520	271.340	403.499	143.628	
18	1	347.831	649.654	235.504	353.231	387.365	227.365	723.665	245.516	1027.091	334.044	
18	2	307.578	496.719	710.438	525.096	247.564	480.759	329.542	204.699	195.353	244.814	
18	3	211.241	254.158	102.799	272.455	164.550	271.973	273.476	213.377	242.669	254.184	
18	4	448.523	362.322	130.628	186.742	217.565	313.232	279.030	150.106	1052.589	161.162	
18	5	215.123	173.484	232.512	242.106	381.338	246.976	208.471	252.182	434.650	204.598	
18	6	192.112	643.011	212.782	285.944	233.924	509.495	262.286	231.725	204.302	235.740	
18	7	664.297	181.314	258.883	100.078	66.860	163.756	166.689	102.169	187.937	249.782	
18	8	272.682	341.802	282.726	641.986	212.328	384.444	194.747	135.198	1789.873	154.593	
19	1	279.932	540.341	471.512	225.977	698.643	523.044	257.035	511.014	495.320	340.764	
19	2	561.198	421.391	372.520	704.872	466.488	551.645	365.982	402.796	348.929	459.920	
19	3	465.976	628.591	403.736	316.735	492.066	617.404	217.343	346.417	396.958	168.726	
19	4	457.396	194.153	463.844	478.505	401.115	334.797	185.777	185.456	293.107	419.659	
19	5	930.170	296.699	579.364	302.725	261.688	550.240	465.118	491.084	658.596	440.901	
19	6	730.875	392.005	397.069	545.634	385.079	478.207	648.462	596.780	346.287	718.160	
19	7	226.342	287.611	139.124	97.891	178.009	203.717	306.748	151.059	350.297	213.396	
19	8	358.700	456.182	352.376	291.840	257.831	227.994	280.130	403.959	241.823	218.591	
20	1	251.716	247.343	485.217	361.144	335.346	227.292	197.164	388.966	259.297	323.943	
20	2	248.946	352.298	302.974	233.298	199.857	407.114	288.549	336.443	286.575	309.136	
20	3	199.750	148.091	145.412	210.610	139.555	108.042	219.152	232.373	397.893	245.543	
20	4	312.939	162.324	237.204	151.973	261.614	209.270	240.942	388.205	252.410	155.790	
20	5	328.719	325.809	219.553	362.837	242.041	233.484	223.479	820.738	362.757	248.937	
20	6	255.769	839.426	287.417	241.191	364.795	493.391	534.980	292.464	243.196	222.274	
20	7	251.209	168.848	236.461	122.112	273.999	133.201	121.251	211.715	180.654	219.641	
20	8	254.154	211.712	154.958	207.640	411.433	270.145	270.458	383.345	254.638	410.549	
21	1	701.411	448.104	492.551	273.957	711.451	732.413	637.366	566.132	532.438	515.672	
21	2	491.223	534.845	326.645	250.345	571.375	428.252	564.576	638.296	516.538	379.106	
21	3	512.220	235.208	216.976	176.353	200.361	201.699	438.745	281.160	203.584	352.465	
21	4	379.368	208.539	259.298	304.614	158.599	149.866	305.782	340.307	240.469	333.347	
21	5	384.333	538.290	716.247	654.874	1065.811	662.527	319.962	560.335	920.128	522.728	
21	6	455.643	405.789	228.916	565.367	352.981	703.812	809.505	573.932	545.495	471.624	
21	7	525.672	123.277	402.449	182.907	324.404	769.381	459.001	218.457	275.961	352.590	
21	8	249.116	280.683	317.525	249.424	330.334	326.304	778.312	258.951	567.016	137.310	
22	1	1013.001	821.276	283.112	869.076	277.005	714.569	535.750	355.484	344.399	304.433	
22	2	737.370	614.247	396.089	389.636	308.840	403.322	491.401	433.976	436.295	310.072	
22	3	133.432	177.716	372.074	408.596	159.849	432.431	173.199	171.627	224.591	215.204	
22	4	384.709	144.350	596.588	256.438	189.469	144.564	333.792	239.474	343.269	503.898	
22	5	863.339	242.087	391.229	804.950	363.746	513.442	421.611	924.921	620.523	663.501	
22	6	268.058	604.807	309.616	246.298	416.807	293.835	402.766	429.667	343.578	322.985	
22	7	240.146	161.581	359.808	179.062	284.399	294.313	428.975	168.310	181.843	227.875	
22	8	278.005	151.362	139.199	263.963	280.801	326.233	242.893	178.056	386.757	344.645	
23	1	509.826	254.053	206.490	184.270	570.309	455.050	266.207	301.510	277.355	363.074	
23	2	463.753	632.609	226.581	617.053	357.346	329.191	480.886	517.285	337.203	570.888	
23	3	167.564	200.666	173.094	284.049	282.958	226.683	186.579	157.911	256.159	133.458	
23	4	376.716	243.115	324.590	181.309	255.677	184.049	166.097	243.403	224.065	221.628	
23	5	647.041	353.419	361.017	433.402	298.464	385.356	355.097	292.204	557.009	170.629	
23	6	485.987	338.817	672.196	282.668	390.659	288.101	349.832	359.971	454.021	312.070	
23	7	181.264	227.973	92.138	133.274	85.692	228.749	139.894	170.077	412.138	129.236	
23	8	353.465	509.942	138.174	203.733	257.418	178.046	231.825	244.529	194.291	264.150	
24	1	417.015	543.002	319.924	402.697	542.485	577.083	321.193	339.516	435.724	557.447	
24	2	190.348	547.246	450.915	380.059	340.455	303.427	659.319	733.338	333.433	325.052	
24	3	199.235	410.787	433.948	229.191	111.498	118.061	93.779	335.269	307.053	174.396	
24	4	462.687	259.945	488.622	270.242	402.757	466.903	800.595	252.917	485.558	791.561	
24	5	724.048	822.232	243.750	539.732	176.573	443.543	291.447	311.892	851.873	342.041	
24	6	440.700	668.117	416.483	355.348	1440.207	627.497	388.287	395.802	790.050	474.277	
24	7	493.315	234.341	179.330	396.454	148.664	384.097	302.513	177.259	237.615	466.250	
24	8	746.622	329.982	315.182	440.823	242.783	296.470	329.663	299.340	400.365	197.608	
