u	c	t0v14	t1v14	t2v14	t3v14	t4v14	t5v14	t6v14	t7v14	t8v14	t9v14	
1	1	254.291	257.062	1754.776	735.362	319.870	245.711	590.124	385.378	1032.213	410.982	
1	2	367.196	435.662	434.280	280.761	554.555	300.072	226.656	490.560	492.604	404.091	
1	3	219.328	236.526	273.264	428.467	153.747	107.360	304.046	226.320	303.584	125.474	
1	4	190.170	226.192	272.661	225.511	299.164	164.966	277.678	208.601	294.808	355.905	
1	5	335.024	404.940	767.528	315.922	731.474	544.793	407.008	250.274	754.495	256.825	
1	6	384.465	340.015	343.967	368.590	209.710	302.460	592.617	367.105	335.441	520.965	
1	7	497.612	135.803	225.642	257.179	144.499	162.317	85.944	269.748	609.387	195.341	
1	8	218.829	193.978	161.377	908.214	346.766	188.148	210.650	206.403	260.417	407.676	
2	1	657.916	178.149	267.934	431.602	265.983	336.333	270.749	299.751	459.842	264.014	
2	2	230.247	371.276	362.038	271.982	454.918	239.092	458.609	755.326	428.483	995.395	
2	3	204.125	170.417	297.303	110.913	129.206	165.118	237.505	89.361	189.960	193.103	
2	4	280.834	221.119	252.124	447.462	224.568	257.969	341.396	328.026	306.589	379.313	
2	5	275.372	237.489	230.838	559.914	372.095	265.630	525.384	189.095	330.948	202.738	
2	6	203.088	456.060	395.405	450.327	339.845	425.920	416.545	179.168	228.832	324.814	
2	7	123.248	176.447	213.349	214.526	313.859	96.040	137.866	88.185	200.988	119.705	
2	8	246.090	393.426	266.274	265.238	274.879	391.423	299.103	240.432	223.235	528.458	
3	1	328.126	256.162	736.826	204.163	226.481	265.018	387.081	372.573	284.364	285.785	
3	2	200.243	193.753	244.808	196.226	278.489	248.177	195.450	378.089	164.727	303.693	
3	3	67.005	159.969	136.423	136.671	195.444	121.781	415.711	362.676	110.403	189.675	
3	4	165.705	153.827	294.836	120.254	199.024	280.294	130.525	197.986	211.065	85.420	
3	5	232.329	213.446	267.345	70.018	185.065	438.038	149.775	269.667	256.758	313.687	
3	6	287.252	219.327	190.741	478.724	208.750	289.836	332.223	260.441	233.967	202.073	
3	7	122.398	136.184	105.480	99.137	79.408	160.872	85.911	161.367	101.065	122.398	
3	8	475.983	576.675	225.173	319.440	215.625	213.013	206.956	172.997	237.292	85.015	
4	1	366.269	362.628	281.011	379.985	352.647	356.120	181.545	622.147	264.729	446.693	
4	2	296.601	354.139	652.724	546.934	674.060	336.452	193.332	176.692	211.083	175.569	
4	3	104.829	180.303	362.452	156.342	108.011	98.769	158.601	138.934	224.218	204.399	
4	4	210.055	474.338	211.904	268.753	327.086	149.089	235.676	224.013	452.559	427.764	
4	5	447.828	170.631	468.477	658.624	446.310	775.249	353.328	320.970	2069.756	293.815	
4	6	758.936	845.659	317.353	159.338	206.455	211.221	178.704	174.163	307.626	534.273	
4	7	218.476	134.895	229.313	509.365	120.454	279.606	86.601	1558.839	259.164	86.583	
4	8	521.059	294.309	194.522	164.027	141.206	197.551	341.956	425.468	186.422	235.147	
5	1	620.634	279.938	264.740	343.775	437.559	203.356	330.466	552.843	509.735	692.212	
5	2	773.247	362.736	412.410	234.347	478.094	607.743	503.404	872.819	383.756	246.439	
5	3	167.120	412.620	197.516	299.451	197.590	173.305	159.438	130.901	238.505	384.325	
5	4	440.065	355.925	261.374	199.295	195.121	265.580	174.329	261.845	267.160	149.444	
5	5	352.115	571.973	283.219	793.388	316.440	408.007	343.718	520.181	407.878	1115.457	
5	6	528.573	447.397	715.053	555.302	476.848	646.775	162.142	776.813	300.146	356.825	
5	7	109.001	268.845	288.533	325.550	176.877	233.283	306.862	759.229	301.813	212.205	
5	8	494.501	178.778	231.040	183.607	321.312	249.268	474.408	350.512	141.991	164.007	
6	1	355.333	385.102	549.887	453.659	530.742	734.247	261.266	318.493	404.144	190.610	
6	2	304.112	366.268	377.594	670.921	663.726	557.279	363.206	416.889	520.133	256.481	
6	3	197.152	224.158	136.628	120.830	180.564	100.205	239.319	211.522	90.527	255.564	
