c0t0v4	c0t1v4	c0t2v4	c0t3v4	c0t4v4	c1t0v4	c1t1v4	c1t2v4	c1t3v4	c1t4v4	c2t0v4	c2t1v4	c2t2v4	c2t3v4	c2t4v4	c3t0v4	c3t1v4	c3t2v4	c3t3v4	c3t4v4	c4t0v4	c4t1v4	c4t2v4	c4t3v4	c4t4v4	c5t0v4	c5t1v4	c5t2v4	c5t3v4	c5t4v4	
0.9552068	0.9774221	0.9498832	0.9747174	0.9148583	0.9519866	0.9741654	0.9411068	0.9477525	0.9722244	0.9248193	0.9539382	0.9873644	0.9825541	0.9896039	0.9604473	0.9040638	0.9724458	0.9006037	0.9064873	0.9439481	0.9826637	0.9758919	0.9875439	0.9470085	0.9456557	0.9809402	0.9640203	0.9915412	0.9207391	
0.935141	0.9454694	0.9493076	0.9668456	0.9411024	0.9693148	0.9796326	0.9026356	0.9236785	0.9552153	0.9294221	0.9497507	0.9872018	0.9480689	0.9828158	0.9580943	0.9744637	0.9454399	0.9616512	0.9172781	0.9341956	0.9113159	0.9584785	0.9625058	0.9719819	0.924206	0.9439268	0.9352834	0.9491436	0.9758655	
0.920928	0.9452442	0.9704158	0.9668937	0.9534214	0.9861596	0.9327534	0.9904577	0.9690766	0.9913671	0.9524036	0.9531098	0.9536063	0.9744083	0.9650014	0.9259335	0.9155222	0.9652645	0.9677143	0.9335273	0.9778268	0.9844799	0.9871199	0.9582651	0.9253683	0.9460053	0.9393408	0.9713229	0.9929791	0.9846523	
0.9381893	0.9877385	0.9739651	0.9695957	0.936008	0.9741346	0.9777489	0.9810644	0.9494102	0.9389749	0.9846583	0.9301467	0.9720371	0.9805677	0.9616853	0.9349443	0.9889005	0.9666611	0.9569749	0.9538366	0.9478137	0.9822059	0.9914696	0.9435703	0.9619837	0.9593003	0.99024	0.939518	0.968555	0.9775294	
0.9427562	0.9322798	0.9708136	0.9526474	0.9868948	0.93434	0.9865856	0.9695687	0.9611919	0.9419123	0.9368294	0.9366263	0.9718107	0.9704013	0.9601182	0.9837833	0.9751588	0.9768193	0.9214165	0.9261543	0.9720926	0.9622616	0.9760705	0.9491833	0.913044	0.9154562	0.9717699	0.9470354	0.9377062	0.9220564	
0.9882768	0.9691637	0.9439871	0.9449741	0.9502615	0.9356269	0.968058	0.9272798	0.9559337	0.981375	0.9779792	0.9730224	0.9898746	0.9005623	0.9744344	0.9479012	0.9850895	0.9003783	0.9677518	0.9278975	0.9832515	0.9792113	0.9208198	0.9645743	0.9664429	0.9599341	0.9020045	0.9802096	0.9750695	0.9653047	
0.9308116	0.9625357	0.9709579	0.9586915	0.9628249	0.9580942	0.9751916	0.9700422	0.9638683	0.9541124	0.9694961	0.9572487	0.9374853	0.9756294	0.9342892	0.9334421	0.9523743	0.9792843	0.9237846	0.9292781	0.9890095	0.9503054	0.9419016	0.9496075	0.945094	0.93239	0.9853614	0.9741842	0.9480069	0.973526	
0.9374401	0.9203787	0.9552166	0.973264	0.9551849	0.9245548	0.9434811	0.9804301	0.9838131	0.9768285	0.952997	0.921202	0.9716242	0.9556224	0.9457748	0.9063541	0.913397	0.9017396	0.9323909	0.9485536	0.9714544	0.9574925	0.9737033	0.9744565	0.9754113	0.9592034	0.9514422	0.9592072	0.9591785	0.9816874	
0.9234169	0.9287344	0.9778667	0.9285955	0.9507765	0.961836	0.9878473	0.9788018	0.9836263	0.9895967	0.978785	0.9517576	0.9779174	0.9546809	0.9662531	0.9359764	0.9619063	0.921077	0.951297	0.9543672	0.9893849	0.9904828	0.9743897	0.9566219	0.9797844	0.9632669	0.9964045	0.9802933	0.9854004	0.9040368	
0.9791499	0.9581047	0.921326	0.9808164	0.931077	0.9893999	0.943067	0.92634	0.9536855	0.9757482	0.9886743	0.9766408	0.9443815	0.9659988	0.9856532	0.9033853	0.912511	0.9467433	0.9480276	0.9100752	0.9889699	0.9372377	0.9773594	0.9675671	0.9463479	0.9956402	0.9617987	0.9607871	0.9532736	0.9197587	
