c0t0v19	c0t1v19	c0t2v19	c0t3v19	c0t4v19	c1t0v19	c1t1v19	c1t2v19	c1t3v19	c1t4v19	c2t0v19	c2t1v19	c2t2v19	c2t3v19	c2t4v19	c3t0v19	c3t1v19	c3t2v19	c3t3v19	c3t4v19	c4t0v19	c4t1v19	c4t2v19	c4t3v19	c4t4v19	c5t0v19	c5t1v19	c5t2v19	c5t3v19	c5t4v19	
0.7243107	0.4782895	0.6191054	0.7998027	0.4201919	0.4718835	0.6752431	0.5011848	0.592414	0.3428524	0.3510479	0.2358696	0.2839204	0.3168743	0.4160201	0.6091085	0.5277347	0.4401802	0.5958793	0.5159897	0.4676785	0.3591942	0.4742478	0.5566357	0.5401698	0.3267701	0.1738421	0.4043903	0.244396	0.377798	
0.734999	0.6035339	0.3183237	0.4789166	0.286193	0.5109841	0.4086885	0.2560917	0.3506423	0.3679319	0.1542653	0.1355345	0.335676	0.198977	0.3226756	0.3913234	0.2714551	0.3826576	0.4465517	0.6384102	0.4253887	0.3807274	0.298501	0.2111107	0.4273641	0.1402277	0.1506185	0.1540658	0.2292345	0.4090573	
0.600539	0.2713546	0.3006544	0.2016453	0.292753	0.2240126	0.2756352	0.3311476	0.3335042	0.2236065	0.09954434	0.1322183	0.127395	0.1134875	0.06217377	0.152755	0.3506527	0.546635	0.4950596	0.1868689	0.1239052	0.3162715	0.2822286	0.2608174	0.264047	0.06075626	0.1192717	0.1628023	0.2046223	0.1721521	
0.571309	0.8458142	0.489019	0.316875	0.6279449	0.6018541	0.6072488	0.3619234	0.5579227	0.5025166	0.123466	0.1117947	0.1038631	0.114108	0.174219	0.5872366	0.2619307	0.5544705	0.6770542	0.4867203	0.3334946	0.3586178	0.4339097	0.2388655	0.3646157	0.2532512	0.2489062	0.426985	0.3688393	0.1863557	
0.1692322	0.06452114	0.07826461	0.1761986	0.2438779	0.3237183	0.2148535	0.3376738	0.5191412	0.4413655	0.0869059	0.1263958	0.4043843	0.1554608	0.2899261	0.2450505	0.1615201	0.3843187	0.07593875	0.2452854	0.2539348	0.2531188	0.2131224	0.2388248	0.08553045	0.0498612	0.1054611	0.05958055	0.04402388	0.09069941	
0.1103463	0.07574167	0.06982099	0.5257719	0.05966271	0.2414268	0.5921454	0.1975851	0.5206856	0.2350845	0.08551951	0.09394325	0.2745538	0.2042382	0.1388811	0.03121329	0.3184917	0.4127357	0.2005972	0.5419606	0.5738417	0.3913384	0.4231348	0.5531163	0.397475	0.0607587	0.2535629	0.2453464	0.1960108	0.2407994	
0.2198403	0.4226929	0.3853375	0.4110539	0.152656	0.1332963	0.2266407	0.1320739	0.2086777	0.2920487	0.08978938	0.177334	0.06170176	0.2607209	0.1756664	0.2671573	0.386345	0.08544745	0.23001	0.3159092	0.290612	0.3690976	0.1632596	0.08298911	0.5114998	0.1202528	0.1009474	0.1578868	0.1161356	0.1301193	
0.4001104	0.4328311	0.5274322	0.4734245	0.5120535	0.2196978	0.4329804	0.242051	0.3725527	0.3720739	0.1594433	0.08068427	0.1259895	0.1067258	0.197044	0.4860747	0.4117585	0.4423724	0.6561906	0.3056032	0.3004484	0.5145254	0.2456413	0.1621653	0.2419692	0.2308343	0.2616551	0.2344615	0.2654117	0.3016728	
0.4826828	0.1929409	0.5716402	0.5794861	0.3385482	0.328142	0.2015765	0.3005203	0.2354891	0.4022813	0.3490472	0.0876426	0.09556599	0.1373348	0.1713159	0.254842	0.2339618	0.4406937	0.4125776	0.3523152	0.4370563	0.2846597	0.4340467	0.4034663	0.3288082	0.09778792	0.154663	0.2678739	0.1633584	0.1534427	
0.5199993	0.6049424	0.3720343	0.2437771	0.6326493	0.4717764	0.3534803	0.3605576	0.2946905	0.3960848	0.1280194	0.1787207	0.2236689	0.1904709	0.2620247	0.4528275	0.4475905	0.4203553	0.1901607	0.7153648	0.1889562	0.4719016	0.3623959	0.3564514	0.3328691	0.2265656	0.1158092	0.1740555	0.2466403	0.2183127	
0.3476221	0.6060426	0.3445465	0.4824366	0.2536198	0.3402869	0.2674635	0.3999295	0.2109637	0.4503514	0.1804751	0.1517282	0.1627813	0.2310561	0.1499578	0.3830658	0.5663623	0.5541954	0.2394747	0.29196	0.1800149	0.2982269	0.1907947	0.5142591	0.2312591	0.07720511	0.1550232	0.118816	0.2224967	0.1606914	
0.1666122	0.3667279	0.5146085	0.8157867	0.5021482	0.1537047	0.3924542	0.4380002	0.4348594	0.2821288	0.08738377	0.1656356	0.3024558	0.1191705	0.1168784	0.2892262	0.3036097	0.3490702	0.3127105	0.518712	0.1292511	0.3469622	0.2015589	0.2911397	0.4758855	0.2916844	0.1199546	0.1632919	0.1411346	0.1936009	
0.5757487	0.7094422	0.5467333	0.3623835	0.5227255	0.17896	0.1610514	0.4995301	0.3707367	0.2425162	0.123229	0.1960099	0.1732639	0.1331684	0.1825888	0.3750936	0.5268043	0.1433735	0.4456458	0.1779841	0.3899866	0.3817822	0.3383697	0.3765914	0.2714058	0.172474	0.2795381	0.2523635	0.2941006	0.1850684	
0.439142	0.2222636	0.2092446	0.223245	0.3118141	0.2054326	0.2133941	0.2480506	0.1694883	0.1738304	0.1253644	0.1022349	0.06517853	0.1421884	0.1152304	0.1690032	0.2767771	0.302978	0.2519911	0.2822585	0.1756577	0.3832242	0.1717746	0.2360655	0.180996	0.05766812	0.1122558	0.114377	0.2002486	0.2008078	
0.3166844	0.2932475	0.4442129	0.5788925	0.4323218	0.2436844	0.2779714	0.2368159	0.3383453	0.2320429	0.1261488	0.1054988	0.2220517	0.1576546	0.1056497	0.3634868	0.311959	0.08992773	0.4411451	0.446791	0.1976924	0.2444231	0.2304213	0.2601898	0.2515172	0.09649862	0.1144189	0.3030604	0.1874937	0.1278074	
0.3759425	0.5233151	0.5272789	0.5178088	0.2459275	0.6040499	0.3712249	0.1910155	0.3350098	0.4598085	0.2614755	0.2225619	0.1706194	0.1805449	0.1576114	0.5119612	0.5647538	0.2913426	0.3599091	0.5259599	0.32672	0.4225609	0.2810183	0.4599352	0.2780493	0.1160033	0.2075088	0.1723344	0.235013	0.1654981	
0.270446	0.2067224	0.4020562	0.508388	0.326387	0.1616055	0.3567466	0.1210356	0.3315209	0.3280597	0.1868714	0.09560046	0.1015748	0.1720662	0.09649674	0.1641737	0.4081041	0.1924644	0.4781473	0.2452435	0.4633842	0.3446859	0.1958971	0.2993274	0.3394848	0.1144298	0.07801544	0.09890207	0.3189325	0.2208073	
0.4070213	0.3233949	0.2227161	0.4214876	0.3300085	0.1533425	0.1730653	0.256983	0.2429936	0.1915185	0.0621969	0.05862739	0.1131748	0.0911275	0.1081043	0.2737032	0.5456331	0.3098229	0.2763792	0.2813631	0.2612822	0.193812	0.4571499	0.3329423	0.37574	0.08820362	0.07060741	0.08459064	0.1178703	0.1218282	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
