c0t0v6	c0t1v6	c0t2v6	c0t3v6	c0t4v6	c1t0v6	c1t1v6	c1t2v6	c1t3v6	c1t4v6	c2t0v6	c2t1v6	c2t2v6	c2t3v6	c2t4v6	c3t0v6	c3t1v6	c3t2v6	c3t3v6	c3t4v6	c4t0v6	c4t1v6	c4t2v6	c4t3v6	c4t4v6	c5t0v6	c5t1v6	c5t2v6	c5t3v6	c5t4v6	
0.8586496	0.9796997	0.92455	0.985398	0.9136421	0.9673165	0.970639	0.8876916	0.9526858	0.965703	0.9464906	0.9083391	0.9896528	0.9877045	0.9698897	0.8557701	0.9323028	0.962016	0.9775208	0.9360083	0.9069714	0.9845961	0.9755163	0.9860322	0.9153595	0.9892609	0.9901626	0.9704577	0.9502504	0.9086833	
0.8426453	0.9659703	0.9021047	0.8819616	0.8970003	0.955335	0.9686812	0.9257032	0.9278286	0.9004452	0.8394498	0.9578381	0.9611241	0.9276516	0.9584287	0.8410228	0.8668457	0.8728961	0.92233	0.8849002	0.9478521	0.8946242	0.9607405	0.9768524	0.9317541	0.8826093	0.8617953	0.8445385	0.9487691	0.9087404	
0.8923024	0.912149	0.8990095	0.8894213	0.8773838	0.9203782	0.8871164	0.9826238	0.9668554	0.9787245	0.9486206	0.8988072	0.9313376	0.949935	0.9535075	0.9615147	0.9266708	0.9443884	0.9426059	0.9508333	0.9708687	0.8926851	0.9657107	0.9395993	0.8745911	0.9737125	0.8474413	0.9108083	0.9841875	0.9627887	
0.8979083	0.9357826	0.8554206	0.9197432	0.8560638	0.950706	0.9316602	0.9477386	0.9720948	0.9316213	0.9203116	0.85915	0.9360276	0.9698833	0.9099067	0.9024144	0.949407	0.881492	0.953679	0.9047241	0.9614563	0.9791722	0.9405456	0.8954169	0.9674744	0.943906	0.9550877	0.9807404	0.8697923	0.9524345	
0.9439155	0.8351378	0.9192525	0.8923906	0.8599883	0.9217754	0.9692441	0.9281425	0.8975087	0.8929228	0.836183	0.8961617	0.9110347	0.92495	0.9571872	0.9422626	0.9541849	0.8879825	0.9510729	0.8623319	0.9322832	0.8666458	0.9034452	0.9631326	0.9863347	0.964222	0.9509741	0.9801194	0.8831638	0.942694	
0.9264411	0.9031818	0.9244205	0.8758745	0.862924	0.9176511	0.9879627	0.8763979	0.9474175	0.9763465	0.9811422	0.9393088	0.9231957	0.877001	0.9556533	0.9311528	0.9200261	0.860347	0.8610528	0.8487723	0.9881508	0.9879687	0.9438478	0.8748087	0.971127	0.9146116	0.8353421	0.9692268	0.9757812	0.9353084	
0.8701961	0.9190475	0.9635288	0.8848932	0.8565097	0.9772919	0.9629215	0.9689314	0.9698721	0.8773543	0.9164569	0.9735284	0.8508162	0.8662531	0.9213992	0.8601933	0.9517051	0.9160037	0.9496614	0.8532974	0.966531	0.8345696	0.8987193	0.959904	0.9319733	0.9714333	0.938008	0.8815318	0.9317513	0.9143247	
0.8886406	0.8776644	0.9363073	0.883587	0.8389748	0.9498308	0.8773134	0.9877163	0.9946294	0.9801534	0.9547509	0.948687	0.9631819	0.9414992	0.8485886	0.8366958	0.9770685	0.8966647	0.9852515	0.9600532	0.9738295	0.9277545	0.9848922	0.9795432	0.9749138	0.917939	0.9671278	0.9738267	0.9556522	0.9752864	
0.9397725	0.9137384	0.9171952	0.8982809	0.9408102	0.9340535	0.9927531	0.9883544	0.9770232	0.9854063	0.9641491	0.8618816	0.9527738	0.8631968	0.8338051	0.8938912	0.901663	0.8830299	0.9001909	0.9603947	0.9891179	0.9884481	0.9195903	0.8367784	0.944184	0.8943223	0.98357	0.9483141	0.946279	0.8754592	
0.9515636	0.9401057	0.8345736	0.9855661	0.8684823	0.9865845	0.9548949	0.9092392	0.9351712	0.988719	0.9640414	0.9519762	0.8651111	0.9488503	0.8919262	0.8853226	0.9444067	0.8411742	0.9638536	0.9446877	0.9670779	0.9302135	0.9694475	0.9433802	0.9332228	0.9600024	0.9432041	0.957907	0.9552495	0.9133914	
