c0t0v14	c0t1v14	c0t2v14	c0t3v14	c0t4v14	c1t0v14	c1t1v14	c1t2v14	c1t3v14	c1t4v14	c2t0v14	c2t1v14	c2t2v14	c2t3v14	c2t4v14	c3t0v14	c3t1v14	c3t2v14	c3t3v14	c3t4v14	c4t0v14	c4t1v14	c4t2v14	c4t3v14	c4t4v14	c5t0v14	c5t1v14	c5t2v14	c5t3v14	c5t4v14	
656.5349	1157.701	872.1616	700.8542	1247.946	367.6455	231.6745	249.8728	261.2677	499.3013	152.3384	205.9987	227.5357	186.5622	106.1363	765.3316	885.8671	1280.438	896.6661	1046.845	318.5634	503.995	381.1371	321.5836	291.7635	159.8435	368.8375	142.6191	225.5767	114.1651	
640.6508	909.1135	1278.087	1043.419	1891.559	278.8116	392.5973	659.7396	406.2285	425.3451	281.9077	456.3944	161.2834	185.6179	178.0327	1085.362	1848.122	1343.807	810.7817	765.9578	378.0263	390.1942	580.3078	841.8514	375.5614	284.1439	360.5495	345.6277	165.8252	125.2501	
750.0994	1875.993	1686.802	2569.147	1728.62	674.7968	555.8953	544.6516	490.9088	807.3356	442.4216	338.028	249.0026	460.0534	999.3341	3536.94	1483.644	883.8002	1047.065	2855.51	1351.202	502.6289	611.6439	590.8401	581.9012	944.1697	315.5127	242.6457	317.6794	336.2762	
919.22	657.6151	1017.112	1361.265	735.949	264.1286	262.2003	484.2646	298.4432	334.8255	475.6566	534.8534	536.8612	446.0511	297.9117	863.1458	2026.1	872.6559	784.019	1011.918	456.3612	506.1145	408.0056	632.4427	487.5996	226.8788	202.715	143.8216	99.20409	317.2435	
1805.371	3440.665	2650.149	2054.673	1733.37	497.6783	807.4446	502.1257	302.8932	370.5334	683.4315	397.9087	146.455	301.5479	199.1815	1886.545	1875.408	1330.345	3848.854	1723.378	619.9523	466.4089	701.594	723.1979	1996.16	413.8322	472.8759	923.6667	1178.515	477.8035	
3348.549	1769.39	4364.813	932.4882	3618.424	665.6887	301.5767	439.2727	246.4162	766.467	706.0076	553.0552	187.4136	237.7099	475.0621	4146.568	1641.067	1138.056	1899.316	816.2864	312.4477	460.1104	321.7087	252.057	422.3687	1067.646	178.5249	237.595	343.9907	231.1277	
2303.765	1206.719	1402.223	1175.463	1642.157	1296.387	692.9052	1302.753	840.2137	409.9626	637.4254	372.0238	984.4034	145.1425	181.2782	1505.593	1383.07	4177.449	1956.784	1284.23	597.0219	408.7991	976.7725	1977.659	257.3253	538.0168	548.2168	283.5086	447.9347	490.0463	
1292.242	1234.972	982.5776	1076.349	856.9391	660.2579	342.7258	746.126	483.7757	481.6292	278.9404	735.0208	360.8282	447.5685	246.9846	1068.115	1288.082	1127.208	862.4184	1628.178	600.6926	296.4286	730.0235	1098.016	730.9778	203.0986	177.8905	239.2217	176.3801	198.0716	
1070.266	1707.952	808.6879	783.4963	1601.228	502.814	893.1827	594.08	760.6075	445.0863	146.0126	665.3235	540.7272	397.8258	237.4398	1371.759	1580.953	992.9374	1218.094	1646.618	412.6298	630.0166	326.011	338.2629	461.6757	628.5334	432.1212	177.8294	303.0976	384.0034	
1032.292	848.6461	1363.088	1851.974	740.4998	388.4681	405.5813	449.507	580.1589	460.1005	473.4088	335.898	230.7166	185.778	209.3058	1108.232	1165.235	1185.591	2516.143	753.197	940.0026	326.0844	488.97	474.3144	518.3995	257.2737	506.5828	266.728	214.0923	237.3567	
