c0t0v11	c0t1v11	c0t2v11	c0t3v11	c0t4v11	c1t0v11	c1t1v11	c1t2v11	c1t3v11	c1t4v11	c2t0v11	c2t1v11	c2t2v11	c2t3v11	c2t4v11	c3t0v11	c3t1v11	c3t2v11	c3t3v11	c3t4v11	c4t0v11	c4t1v11	c4t2v11	c4t3v11	c4t4v11	c5t0v11	c5t1v11	c5t2v11	c5t3v11	c5t4v11	
80.94687	177.0279	181.6396	50.4349	166.5744	95.39741	63.60998	151.7807	27.01786	76.52979	34.90664	76.92771	52.22655	23.95575	14.91046	83.84655	128.246	195.895	143.456	113.3543	88.14594	85.19576	27.81572	65.81161	27.13958	18.32864	53.99211	31.32568	59.97043	28.00937	
162.1774	90.38377	90.43104	123.2806	107.1649	152.3227	53.95848	179.4893	45.95077	115.1998	66.75307	63.74202	16.80255	200.7229	18.62121	193.5677	135.885	120.4202	52.25489	244.4089	90.4177	65.11449	79.88016	48.68188	37.2822	93.92743	116.0541	55.58507	76.43224	36.46251	
105.6008	304.3097	136.6544	233.0683	179.021	178.472	104.774	49.70018	120.9522	84.33954	402.2069	274.8408	370.4292	88.95245	174.84	285.4682	97.0129	115.0722	127.871	280.6057	216.102	190.1669	124.9927	142.862	119.0026	101.2429	27.65198	233.5741	51.40241	68.3445	
420.7131	326.3141	109.2413	143.7943	364.7845	132.2467	101.7499	282.5758	308.7931	308.1312	82.75965	64.91128	87.90712	710.7971	123.5451	342.8731	270.0432	351.8255	100.3175	470.6923	116.5287	63.02139	129.9989	154.2579	34.91291	64.82199	72.95512	40.12933	45.05554	16.93503	
200.8198	314.5213	212.4967	352.1686	488.8743	62.48239	84.01815	126.4559	80.47483	61.23514	52.75507	80.47057	22.0332	56.82704	38.33305	630.2666	140.5638	282.499	433.5096	480.1056	136.4722	433.9848	568.6426	124.8134	730.5322	1433.207	271.0108	509.4906	703.4672	634.7274	
539.0964	241.9604	570.272	129.4275	309.4439	138.9354	31.13205	127.1464	30.36528	125.3731	57.59642	44.62232	17.9954	38.32383	19.19964	324.862	219.9023	90.30357	144.6042	61.66713	54.03501	44.72009	37.5821	36.54456	44.46545	250.0863	36.4031	145.1218	35.3033	96.61881	
247.6286	99.61877	81.14266	102.6353	178.2005	227.0018	29.34479	106.0488	35.56507	45.20921	51.29447	94.3153	95.92954	54.7426	82.49747	255.603	242.8772	291.4606	383.2926	81.69448	10.18329	66.95734	116.179	243.0669	123.6938	76.71972	74.91562	64.96658	122.3296	53.76144	
430.8352	384.5531	371.8761	140.994	314.2147	513.6948	401.1976	215.5685	162.0795	259.1325	154.7316	638.8216	293.7366	307.4264	42.48306	504.5383	339.3223	364.9154	133.5492	310.1027	121.3368	113.9504	63.78767	116.1956	67.18774	77.061	103.2571	13.51493	19.99089	56.11516	
257.0674	31.0709	96.59843	78.88358	155.1958	125.0217	171.0594	150.3563	107.8098	97.26073	6.831116	68.86	82.81192	162.0356	86.04037	223.4143	86.26405	428.3423	197.3552	565.5117	19.13372	73.87388	131.2134	50.04784	64.01071	372.4721	46.52831	21.5554	88.06065	124.0968	
116.7014	136.6023	139.0635	99.05122	124.1381	26.88966	104.4998	89.88525	110.1525	50.17892	55.74159	71.65707	54.90645	161.7437	28.21223	157.9175	122.835	103.9473	362.2715	40.15993	104.0454	74.18787	29.80441	72.84359	49.96238	55.09708	22.21835	76.48383	14.32267	47.55672	
152.316	187.8959	134.3881	135.642	179.165	156.7171	148.1624	52.57616	140.9838	97.28771	42.04668	31.82057	91.24292	31.95699	100.7167	345.2536	326.3298	196.9709	305.4829	514.8427	178.9554	144.2731	258.5164	85.36338	116.0399	49.78631	131.5237	289.9804	200.5146	81.30211	
