c0t0v13	c0t1v13	c0t2v13	c0t3v13	c0t4v13	c1t0v13	c1t1v13	c1t2v13	c1t3v13	c1t4v13	c2t0v13	c2t1v13	c2t2v13	c2t3v13	c2t4v13	c3t0v13	c3t1v13	c3t2v13	c3t3v13	c3t4v13	c4t0v13	c4t1v13	c4t2v13	c4t3v13	c4t4v13	c5t0v13	c5t1v13	c5t2v13	c5t3v13	c5t4v13	
0.763173	1.142296	1.091779	0.5926976	1.206909	0.3982943	0.4291117	0.3817662	0.4811739	0.6369299	0.3235809	0.3968097	0.4153164	0.3375284	0.2843797	1.024237	0.9721969	1.131541	0.96241	1.077791	0.5868527	0.5726639	0.5228388	0.430656	0.4265391	0.3412633	0.4585265	0.3321271	0.3778679	0.3009622	
0.796789	0.8707253	1.056024	1.477058	1.635493	0.6257576	0.6732075	0.9586467	0.6124833	0.7571229	0.481125	0.4377736	0.3847274	0.451104	0.396285	1.273515	1.580895	1.256582	0.6952079	0.9088198	0.570738	0.7013368	0.7014707	0.8457255	0.499212	0.5528408	0.6441784	0.6478108	0.4902245	0.3395689	
0.9117121	2.900293	1.806574	2.361604	1.795984	0.992831	0.9839016	0.8020574	0.6652929	1.012165	0.7470047	0.6522456	0.5598238	0.7418064	1.175233	3.440258	1.387273	1.201851	0.9783046	2.661035	1.283838	0.7761809	0.8614292	1.027587	0.9847887	0.9747855	0.6076061	0.4903232	0.5269033	0.5988222	
1.068592	0.7205446	1.159535	1.33657	1.232328	0.3963905	0.4027916	0.7343571	0.5971757	0.5059102	0.7734872	0.6474864	0.6642646	0.6547042	0.4891965	1.271068	1.908249	1.182132	0.8783386	1.234168	0.5908607	0.7061512	0.5731679	0.8959804	0.6516383	0.4215998	0.4360973	0.3165076	0.3363658	0.4757386	
1.68309	2.518435	2.081809	1.821787	1.88024	0.6237369	1.055736	0.6052493	0.4496176	0.5638883	0.8014184	0.5433508	0.5059618	0.5243129	0.5226919	1.751095	1.55979	1.457384	3.045132	1.956139	1.005957	0.759972	1.09593	1.305574	2.316075	0.5926561	0.5957282	1.326468	1.940516	0.6313699	
3.8417	1.598365	4.864172	1.143819	3.895292	1.21749	0.4014949	0.6121673	0.5383472	1.133921	0.8276073	0.5024424	0.4076061	0.4997622	0.5492732	4.46694	1.66054	1.430859	1.864915	0.8965449	0.4634297	0.5811977	0.6372806	0.5759495	0.6921352	1.336368	0.4640827	0.3540653	0.5222147	0.4680609	
3.664375	1.967401	1.748707	1.418445	1.980187	1.602504	0.8400351	2.80806	0.9152706	0.6749652	1.036228	0.664637	1.331573	0.4287708	0.3725828	1.645574	1.405025	3.607538	2.042099	1.17958	0.8647026	0.755966	1.244326	2.491793	0.5228275	0.636047	0.5658694	0.7259485	0.5153868	0.5260583	
1.460711	2.028528	1.446716	1.413121	1.273415	1.333258	0.802879	1.343969	0.6867365	0.6864197	0.8631088	1.587793	0.792855	1.080037	0.5540825	1.613414	1.490905	1.518201	1.11351	2.527261	1.029113	0.6262168	1.132508	1.452206	0.9429713	0.28861	0.2642838	0.3645877	0.4014402	0.3678485	
1.410298	2.043374	0.9561597	1.283637	1.739995	0.7250499	1.077437	0.8826311	0.9569049	0.5528088	0.3545661	0.930316	0.5988398	0.4407738	0.4205218	1.035917	1.283461	1.228782	1.251786	2.062219	0.6638724	1.048992	0.6614556	0.5646424	0.5966589	0.8853443	0.5360255	0.5332867	0.6886726	0.418206	
1.189392	1.080436	1.52037	1.806251	1.158835	0.5892754	0.6872355	0.7728688	1.028987	0.5961691	0.7462945	0.567495	0.4641944	0.3250968	0.40672	1.327395	1.198518	1.362805	2.655977	0.759383	1.201305	0.5311837	0.6007853	0.7847883	0.8223189	0.4020897	0.568315	0.4195616	0.4173969	0.4886655	
1.417596	0.9191429	1.486704	1.305069	1.398438	0.6010143	0.7092406	0.6224601	1.118623	0.544629	0.7547968	0.5606993	1.198352	0.6245635	0.8700012	1.648566	0.8749289	0.9981624	2.164973	1.796977	1.050655	0.8076693	1.214456	0.4870215	0.8235536	0.6163153	0.4488077	0.5592259	0.3457466	0.3852068	
1.810506	1.326881	1.014974	0.9902022	0.8086275	1.239051	0.5618243	0.496304	0.4983141	0.797827	0.6042618	0.3761133	0.4411246	0.439181	0.5702949	1.718777	1.562922	1.495794	1.318994	0.9310266	1.516268	0.4624799	0.8318444	0.7101015	0.4351709	0.2517559	0.4423617	0.4482739	0.3717892	0.3972094	
0.9898647	0.8481505	0.9103367	1.242933	1.286112	1.061395	1.266044	0.4558126	0.5370409	0.8972885	0.6415063	0.4000826	0.5283486	0.6056276	0.5063525	2.116095	1.443323	3.658354	1.277145	2.346589	0.6832322	0.5532574	0.6729013	0.6704562	0.8183372	0.3772945	0.3409661	0.3685102	0.3904235	0.4788757	
1.601474	2.567924	2.601929	1.693861	1.842824	1.224294	1.02966	1.062907	1.424607	1.15195	0.6542394	0.8861421	0.8726776	0.5160637	1.389432	2.742225	1.756098	1.391983	1.272615	1.879395	1.126931	0.6574912	3.278365	1.081211	1.616429	0.715265	0.4593102	0.5567735	0.4848342	0.4908782	
1.626057	2.803938	1.204535	1.82416	1.815054	0.9642309	1.346223	1.262806	0.9220252	0.8527288	0.5133561	0.483611	0.352757	0.5136096	0.9152458	2.019756	2.049382	4.95448	1.112715	1.18289	0.9470998	0.9825528	1.100505	1.028077	0.9484318	0.6179048	0.5310987	0.3784323	0.5206849	0.5783716	
1.491582	1.042331	0.8355631	0.8947846	1.817501	0.3465015	0.5668061	0.8529445	0.6283375	0.5237291	0.3486683	0.3368338	0.3996207	0.355719	0.553955	0.985433	1.164205	2.131707	1.373834	1.303747	0.5430444	0.6056394	0.649844	0.4560012	0.6354628	0.3767411	0.3563732	0.378407	0.3899009	0.5004308	
2.787466	3.063987	1.528366	1.521677	1.788234	1.411242	0.7277088	1.708456	0.6324596	0.7274876	0.4656051	0.519788	0.7928807	0.6506797	0.691067	3.602495	1.586718	2.662551	1.558841	2.447235	0.4390546	0.7581868	1.073387	0.7419129	0.7523168	0.3160939	0.8673062	0.8270695	0.3751466	0.4292202	
1.475837	1.617666	2.558229	1.347372	1.741977	1.023042	1.815383	0.8510391	0.9441825	1.128017	0.9033353	0.9506371	0.4561764	0.7502007	0.5550332	1.431547	1.074127	1.741584	2.285424	2.088491	0.7984316	0.9435477	0.7610962	0.6383038	0.5915143	0.8454434	0.7209553	0.7821307	0.4167168	0.5605626	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
