c0t0v9	c0t1v9	c0t2v9	c0t3v9	c0t4v9	c1t0v9	c1t1v9	c1t2v9	c1t3v9	c1t4v9	c2t0v9	c2t1v9	c2t2v9	c2t3v9	c2t4v9	c3t0v9	c3t1v9	c3t2v9	c3t3v9	c3t4v9	c4t0v9	c4t1v9	c4t2v9	c4t3v9	c4t4v9	c5t0v9	c5t1v9	c5t2v9	c5t3v9	c5t4v9	
0.3748807	0.6991419	0.7433606	0.4307148	0.7582821	0.4551485	0.4265797	0.6297497	0.07186444	0.1506122	0.03370333	0.3027962	0.105089	0.1144546	0.1778984	0.09220041	0.3650696	0.904838	0.6352834	0.4423127	0.316244	0.5425429	0.08462809	0.3197453	0.05260986	0.02412503	0.1332579	0.03542539	0.3174911	0.07547379	
1.0896	0.8455551	0.4835219	0.7318349	0.7314448	0.8025525	0.2855174	1.045065	0.3837985	0.6765876	0.4815501	0.3169332	0.08133038	1.06805	0.1856319	0.9216088	0.784937	1.055089	0.3210088	1.154329	0.4149716	0.5955409	0.5770514	0.2344442	0.151941	0.6498685	0.758415	0.1164967	0.4435383	0.2537193	
0.6286838	0.9803741	0.7300114	1.187472	0.8063646	1.07508	0.7054178	0.591242	1.022799	0.5912717	2.500863	1.425547	1.758449	0.4060845	1.220902	0.9446692	0.5223191	1.003118	1.030259	1.533463	1.087942	1.018639	0.5382761	0.5441802	0.6391848	0.5521719	0.3449359	1.478193	0.2634271	0.2523239	
1.988806	1.629997	0.6460998	0.6384246	1.164384	0.5247355	0.3975215	1.031335	1.391144	1.235421	0.07281182	0.3712915	0.4414215	2.874764	0.4330347	1.514135	1.180057	1.363674	0.7787205	1.819837	0.653842	0.1644239	0.6403276	0.6023632	0.0937373	0.3604527	0.4952109	0.2012036	0.09984619	0.05711531	
0.7567737	0.8430739	0.5724579	1.59201	1.298156	0.3721068	0.3901072	0.7102905	0.3469166	0.2635515	0.1970365	0.3736473	0.01023757	0.758209	0.3680325	2.636982	0.5041558	1.184424	1.145362	2.27708	0.44776	1.687539	2.797724	0.2927647	3.029563	5.129025	1.665826	2.699268	3.771622	3.080179	
2.555938	1.034198	2.904245	0.6137906	1.581841	0.5760506	0.03760311	0.7391633	0.2632619	0.9705188	0.2847873	0.2086588	0.05730173	0.276096	0.2648693	0.7613025	0.5971972	0.3171376	0.5711078	0.3108978	0.2149612	0.2545533	0.0688248	0.2116228	0.3311336	1.386448	0.322603	1.273912	0.1759067	0.425346	
0.9027421	0.4352638	0.6015425	0.3691058	1.09005	0.4834416	0.3840406	0.1806545	0.002078382	0.3276822	0.4945144	0.4061498	0.4544694	0.3149099	0.6057922	1.3776	0.8102925	1.339572	2.312279	0.2176282	0.04082381	0.6834387	0.8257166	1.191821	1.019338	0.1299442	0.3017954	0.2586555	0.5689316	0.5360776	
1.702073	1.96169	1.679059	0.9050509	1.832678	3.640617	1.916778	1.168988	0.7751632	1.153086	0.5987983	3.023181	1.754016	1.735279	0.2424231	3.065389	1.721966	2.002685	0.7543788	1.881858	0.7419443	0.6558045	0.3787407	0.8538586	0.4489911	0.5053872	0.6362066	0.1989077	0.229493	0.2541606	
1.325346	0.3517161	0.4938082	0.3687837	0.6344458	0.5350209	0.7464497	0.573415	0.5647493	0.2798422	0.03748041	0.5530466	0.6576113	0.7196976	0.6125951	1.643966	0.5106282	1.663748	1.011371	2.372101	0.28471	0.4032482	0.7388959	0.4249226	0.2431355	2.348521	0.1673524	0.1205326	0.77629	0.7432591	
0.2540446	0.6655771	0.2317812	0.2130816	0.7197337	0.01339648	0.3705752	0.4514968	0.2102024	0.2329219	0.1774577	0.3881963	0.3366925	0.9630362	0.2931852	0.5744243	0.4512291	0.1286156	1.036633	0.1209	0.2943267	0.3047053	0.07382172	0.1406609	0.3842583	0.4954311	0.003234976	0.6069024	0	0.3055109	
0.5978518	0.9331696	0.7096585	0.4554273	0.7802941	1.127067	0.7139396	0.05376408	0.5598426	0.8634275	0.1434902	0.4078778	0.4741636	0.03581726	0.8208069	1.568845	2.180141	1.017157	1.56837	2.656638	0.9759668	0.7764575	1.523088	0.49922	0.6250646	0.1431756	0.7388072	1.877293	1.379452	0.7691842	
1.981991	1.928599	1.220576	0.8475107	1.26346	7.844511	0.4140374	0.02071858	1.107167	1.268213	0.5308006	0.5420704	0.3081995	1.70523	1.101824	1.060243	1.20715	2.059638	2.30158	0.6198863	3.143491	1.025398	1.476225	0.7867811	0.6293395	0.6764464	3.438534	1.131042	1.863087	2.629423	
0.3669977	0.6417702	0.4798611	0.840799	0.6436911	0.4982025	0.6327681	0.4036142	0.2480959	0.3943762	0.3946543	0.6151375	0.3089983	0.468736	0.4558635	0.9657518	0.5052546	0.8062199	0.6947143	0.6676981	0.3636344	0.1215146	0.6749407	0.6138913	0.2989458	0.6829305	0.2876011	1.098887	0.1884899	0.3853737	
0.6492716	1.648601	2.637374	1.267536	1.708799	1.379098	1.459205	1.658059	0.6807733	1.220936	1.408717	2.440812	3.13058	0.4847699	1.381871	3.404055	1.770979	2.084182	1.106892	3.653526	1.360893	0.4349574	1.246253	2.907153	1.114192	3.628646	1.88209	1.072423	1.283703	0.4562798	
1.136708	0.6036999	1.112092	0.5097111	0.8982679	0.001200924	0.4483447	0.649516	1.132087	0.550254	0.9671409	2.084934	0.06781535	0.01358322	1.259155	0.8105722	1.201473	1.647099	1.723177	1.21232	0.4305063	0.1513911	0.1437934	0.4717509	0.1108247	0.8609657	0.8030456	0.2299847	0.04867851	1.043388	
0.4707946	0.145165	0.2645055	1.083302	0.3706554	0.006193069	0.242379	0.3999202	0.3749672	0.2472415	0.132297	0.8076481	0.6567082	1.552388	0.2147901	0.09884973	1.126603	1.888311	1.2878	0.5007929	0.08510928	0.2525606	0.9860336	0.2718073	0.3952389	0.2891321	0.8671364	2.036271	1.03664	0.2029612	
0.6732028	0.6580093	0.2350256	0.162322	0.6396831	0.3501677	0.1789072	0.1062369	0.401016	0.09557695	0.248824	0.9077219	0.2326985	0.2450326	0.9357041	0.08393791	0.524496	0.2077612	0.3711558	0.2728339	0.09295748	0.2409458	0.1617766	0.323924	0.2681026	0.0103123	0.2170131	0.02647741	0	0.4332855	
0.2917673	0.6356644	0.5289161	0.5969718	0.8308762	2.484978	0.5576296	0.8612899	0.8920023	1.358177	1.873256	0.6692616	0.6220984	1.477443	0.4340831	1.960535	1.268566	1.463657	1.078585	1.763057	1.456822	0.3087209	0.2014944	0.3846645	0.1312999	0.7833115	0.647296	0.6435407	1.204035	1.487758	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
