user	condition	trial	RTech	ViewCtrl	Release	T0	T1	TT	D0	D1	A0	A1	C0	C1	CC	HD0	HD1	HA0	HA1	TE0	TE1	RE0	RE1	NOA	
2	2	3	0	0	0	1	8.496826	18.80002	27.29684	3.147298	0.03660598	29.81907	4.354355	1	4	5	3.068992	1.083594	721.2773	264.6641	0.08940502	0.691303	0.1650398	0.09931835	1	
2	3	1	0	0	1	0	5.816803	32.34445	38.16125	5.012008	0.01086437	29.67189	2.605624	1	7	8	0.7842036	1.360032	266.4977	334.4577	0.6804498	0.7379473	0.4051882	0.09016184	1	
2	3	2	0	0	1	0	2.979797	35.84445	38.82425	0.9879398	0.00533536	120.4433	1.246137	0	5	5	2.026956	1.62268	349.1482	610.5142	0.1401751	0.1078469	0.1918065	0.1993276	1	
2	3	3	0	0	1	0	7.632843	32.46664	40.09949	0.9580132	0.0105867	125.6964	2.351062	1	6	7	0.9297017	1.795759	193.9436	890.8328	0.804757	0.1310422	0.5917165	0.1405508	1	
2	4	1	0	0	1	1	2.667664	31.22223	33.88989	0.998605	0.005681337	60.42431	2.199346	0	4	4	0.8784207	2.031177	195.7396	863.8612	0.7891105	0.05724318	0.4758981	0.06800328	1	
2	4	2	0	0	1	1	1.396484	30.59998	31.99646	0.9806252	0.02475463	105.235	1.7091	0	4	4	0.6238433	1.38659	132.6685	688.8418	0.875251	0.1342617	0.4496855	0.1503783	1	
2	4	3	0	0	1	1	4.62439	31.10004	35.72443	2.475328	0.01696401	29.86891	3.443621	1	4	5	1.302452	1.880099	456.2637	507.5334	0.7183554	0.2414022	0.3104143	0.05057137	2	
2	5	1	0	1	0	0	4.418518	24.48889	28.90741	0.9924025	0.01674254	59.76463	2.65797	0	4	4	1.16302	0.9354763	434.7792	300.678	0.6936696	0.3206894	0.2046924	0.1834648	1	
2	5	2	0	1	0	0	1.092957	33.53339	34.62634	0.9943038	0.01712802	105.0952	2.335697	0	7	7	0.5755228	1.288093	104.7156	518.077	0.8963057	0.1873486	0.5649759	0.1592975	1	
2	5	3	0	1	0	0	1.964783	41.6778	43.64258	1.239681	0.02081345	29.0102	1.716412	0	6	6	0.7547628	1.371416	214.4263	377.1378	0.8737679	0.4930976	0.4253391	0.07794864	1	
2	6	1	0	1	0	1	0.7591553	23.74438	24.50354	0.9647227	0.04058281	95.10172	1.626502	0	2	2	0.5265431	0.8603234	93.17016	358.9942	0.9551386	0.3053152	0.8146119	0.2134545	1	
2	6	2	0	1	0	1	1.654907	32.27783	33.93274	0.9997978	0.02414506	77.55719	2.614022	0	4	4	0.6865507	1.960597	212.0426	626.9908	0.8833419	0.1682166	0.5746121	0.1231109	1	
2	6	3	0	1	0	1	0.8112793	21.68896	22.50024	0.8122203	0.1832948	140.9044	4.941376	0	4	4	0.6149901	1.581184	103.2604	539.3271	0.8953797	0.06072435	0.9134417	0.2039612	1	
2	7	1	0	1	1	0	3.173523	37.14447	40.31799	0.9859909	0.006515224	175.2545	0.5293398	0	3	3	0.970978	1.375151	317.6695	520.7015	0.7374902	0.1524855	0.2819	0.2643144	1	
2	7	2	0	1	1	0	0.8918457	21.41101	22.30286	0.9838609	0.03423484	83.94999	1.43201	0	3	3	0.5085267	0.8628926	92.69986	456.0558	0.9467037	0.2556584	0.6952914	0.1295742	1	
2	7	3	0	1	1	0	6.36145	24.75549	31.11694	2.471961	0.008823867	29.63444	0.9362739	1	6	7	1.569024	1.147925	543.3804	299.335	0.6222332	0.6671761	0.1572414	0.08740234	1	
2	8	1	0	1	1	1	1.295044	23.65558	24.95062	0.9458662	0.03895552	90.804	1.023345	0	2	2	0.6251463	1.104128	107.5405	451.0872	0.9432411	0.1659171	0.7640736	0.1576729	1	
2	8	2	0	1	1	1	1.717346	20.61115	22.32849	0.9766037	0.01348798	109.2922	2.724862	0	2	2	0.6727015	0.8633106	185.1028	407.5779	0.9215724	0.2016124	0.4855799	0.1815233	1	
2	8	3	0	1	1	1	1.609985	22.8222	24.43219	2.233652	0.009827468	29.51053	0.6749239	0	2	2	0.7636983	1.232732	221.2759	424.0209	0.9109176	0.3836761	0.4806674	0.03841782	1	
3	1	1	0	0	0	0	4.78418	20.52222	25.3064	0.9946392	0.1264633	40.33874	6.497435	1	2	3	0.8605226	0.8321753	149.8581	201.2168	0.9370129	0.7940546	0.7592409	0.1836809	1	
3	1	2	0	0	0	0	5.82373	34.16675	39.99048	0.9925897	0.429705	156.7767	16.13583	1	7	8	1.035788	1.343947	215.7858	437.6528	0.9233809	0.5268006	0.7351379	0.3961907	1	
3	1	3	0	0	0	0	1.105225	33.18896	34.29419	0.9421211	0.1017695	103.085	8.758628	0	4	4	0.5767064	1.44601	91.99476	569.6491	0.9707248	0.2036469	0.7997492	0.1680153	1	
3	2	1	0	0	0	1	6.878174	16.85547	23.73364	0.9979504	0.07837024	43.33796	3.746297	1	1	2	1.360505	0.8611794	269.9182	195.099	0.9124361	0.7620247	0.4232152	0.2162524	1	
3	2	2	0	0	0	1	4.026367	26.77783	30.8042	0.9740157	0.2284244	155.8327	19.47287	1	5	6	0.9405336	1.657461	154.373	639.5388	0.9348993	0.238676	0.6494122	0.2644165	1	
3	2	3	0	0	0	1	1.622559	17.07764	18.7002	0.9888749	0.0817894	85.62956	8.033567	0	2	2	0.7726808	0.8280649	122.9165	280.5056	0.9108472	0.5124814	0.8353168	0.2856074	1	
3	3	1	0	0	1	0	5.997803	16.1001	22.0979	0.9979807	0.02544241	89.27676	4.071149	1	1	2	1.076118	0.6923323	170.6151	192.4149	0.9458931	0.6812049	0.6876698	0.4581008	1	
3	3	2	0	0	1	0	6.377441	43.65552	50.03296	0.9968545	0.08194549	147.4604	19.4675	1	4	5	1.21348	1.418887	219.9086	452.369	0.8984203	0.3306872	0.564017	0.3657904	1	
