c0t0v10	c0t1v10	c0t2v10	c0t3v10	c0t4v10	c1t0v10	c1t1v10	c1t2v10	c1t3v10	c1t4v10	c2t0v10	c2t1v10	c2t2v10	c2t3v10	c2t4v10	c3t0v10	c3t1v10	c3t2v10	c3t3v10	c3t4v10	c4t0v10	c4t1v10	c4t2v10	c4t3v10	c4t4v10	c5t0v10	c5t1v10	c5t2v10	c5t3v10	c5t4v10	
70.88644	177.0279	127.6809	50.4349	146.4052	59.24496	30.29348	70.89429	21.87053	71.86434	31.28505	24.17023	52.22655	23.95575	14.91046	52.5227	113.1003	154.8028	125.2435	78.17164	64.74706	85.19576	27.81572	65.81161	18.54009	16.88804	53.99211	27.08174	51.16457	25.91499	
101.609	40.54256	63.29348	112.6645	90.03558	91.58554	53.38203	130.7418	42.84253	68.49771	65.3948	62.81878	15.35063	50.81734	18.62121	115.0064	121.611	110.2608	46.85588	90.7455	88.66998	62.84629	74.22774	48.68188	28.48942	73.83819	85.4736	42.3201	22.68608	36.46251	
41.24776	224.3931	86.44465	164.0442	94.80772	84.45103	37.2236	49.70018	46.89664	84.33954	59.47633	24.76612	12.53351	22.54305	85.85506	284.2027	63.91186	61.42735	68.56635	195.8997	78.95499	89.395	23.68687	36.54345	70.64903	57.06726	11.52881	46.55834	51.40241	19.88075	
166.9634	119.0018	72.53947	129.094	135.5224	70.12432	51.78385	145.534	78.52484	169.5119	80.86469	63.86385	74.80968	119.1782	122.2327	228.2931	263.7484	87.8278	63.96098	178.3672	72.06091	63.02139	51.81412	85.82993	34.91291	34.99373	34.82418	34.67568	43.31733	16.53946	
198.3104	237.4059	178.0541	144.7533	198.7551	47.54117	74.44427	65.69307	31.33562	42.62016	25.64904	42.25606	19.69097	35.06874	32.5953	292.5752	122.9791	119.1704	377.8044	255.9855	90.00854	65.54855	122.1948	113.0306	269.9635	140.3011	27.85149	171.8915	143.0635	82.91427	
520.1882	213.7606	564.905	85.37569	308.9192	120.0506	31.13205	90.61206	25.26756	125.3731	57.59642	32.91046	16.14	31.68483	17.40821	288.6342	133.4735	69.8381	128.287	40.35705	54.03501	44.72009	31.35199	26.25482	43.36223	162.7275	28.46735	53.35762	35.3033	35.78267	
197.548	98.00313	79.21528	96.08829	177.7661	33.51416	14.65334	99.80889	35.56507	39.24856	51.29447	94.3153	71.28681	46.05055	22.85948	164.7025	101.7028	217.9615	272.5961	72.77509	10.18329	58.84319	113.3823	159.6566	56.00059	76.71972	65.52945	22.78436	8.496818	53.76144	
318.761	135.9691	185.2975	89.56377	122.0658	142.5662	223.9974	215.5685	162.0795	259.1325	82.62457	436.2434	194.0479	113.6446	22.71562	251.5859	243.9427	240.1132	133.2048	134.1077	121.3368	82.11456	63.78767	116.1956	67.18774	35.81761	29.10387	13.51493	19.64646	56.11516	
162.6649	30.46183	49.99453	37.80688	154.8464	83.45964	171.0594	150.3563	107.8098	97.26073	6.831116	63.72193	17.16276	19.98569	25.36627	165.0159	83.96516	117.0293	161.2113	464.0438	19.13372	73.87388	77.61629	19.41071	60.57405	367.6695	46.52831	21.5554	88.06065	69.64702	
108.2735	96.42097	126.2224	99.05122	77.30023	26.88966	36.81879	69.19755	103.0984	50.17892	54.8229	23.05401	20.66411	27.83976	28.21223	142.7122	105.1418	83.9535	354.8989	34.56102	104.0454	30.8791	27.86355	69.3038	48.80688	5.207727	17.02705	42.00017	10.14963	37.57299	
126.8819	144.0006	117.6431	135.1254	126.3141	91.09727	146.6162	52.57616	140.9838	43.53623	39.90689	3.78284	54.80767	31.95699	33.13853	292.6656	72.57971	78.03517	295.9776	192.4776	178.9554	66.98178	96.6256	36.60429	64.86565	49.605	53.29389	140.8977	32.59284	79.78835	
616.2285	113.4045	189.2617	121.5956	122.9824	121.0888	52.02774	45.79131	116.0152	156.0605	108.6981	37.76011	18.8805	28.44089	258.1843	253.0753	85.92894	316.857	220.7274	176.156	430.0973	202.4661	209.4807	119.8722	52.83772	210.196	640.7581	257.3387	383.8403	288.6477	
65.60265	57.65178	95.99288	147.8992	119.8316	48.0741	89.35059	65.18678	35.70626	64.44116	62.93553	20.51954	22.87956	94.47179	50.79387	106.3703	42.18752	188.2571	129.4834	184.5905	54.65686	66.43589	28.73457	72.78766	66.42197	48.4853	18.70847	28.76159	31.53251	89.41604	
117.4029	236.7723	285.0156	98.4829	125.8798	199.3053	104.3378	166.19	45.04785	278.7844	63.40557	250.9606	155.1201	60.99992	90.55018	511.7973	164.5923	143.97	147.7537	340.0693	168.3835	42.72962	394.4407	180.2869	157.9112	217.4568	111.6374	146.2758	174.4505	29.20383	
