c0t0v12	c0t1v12	c0t2v12	c0t3v12	c0t4v12	c1t0v12	c1t1v12	c1t2v12	c1t3v12	c1t4v12	c2t0v12	c2t1v12	c2t2v12	c2t3v12	c2t4v12	c3t0v12	c3t1v12	c3t2v12	c3t3v12	c3t4v12	c4t0v12	c4t1v12	c4t2v12	c4t3v12	c4t4v12	c5t0v12	c5t1v12	c5t2v12	c5t3v12	c5t4v12	
0.6598849	1.142296	1.022207	0.5926976	1.136278	0.3968188	0.4170475	0.3273698	0.4654257	0.6332808	0.3235809	0.3920717	0.4153164	0.3375284	0.2843797	0.8562786	0.8268632	1.123813	0.9200322	1.030875	0.5130922	0.5726639	0.5228388	0.430656	0.4008052	0.3412633	0.4585265	0.3311068	0.3754197	0.2881594	
0.6649457	0.8465703	0.9361653	1.369532	1.59019	0.5847398	0.6480675	0.9327502	0.5415358	0.7019846	0.4503891	0.4327351	0.3803175	0.4393651	0.3951517	1.036514	1.436937	1.186652	0.6426868	0.8383628	0.5375614	0.6660188	0.6931249	0.842527	0.4675438	0.4711682	0.5945761	0.5942423	0.4232393	0.3353236	
0.7649249	2.768103	1.621886	2.190321	1.672822	0.889452	0.9036887	0.8020574	0.5856564	1.012165	0.6992916	0.5590554	0.4710591	0.7245087	1.138958	3.403659	1.322323	1.082293	0.9156629	2.557397	1.179091	0.7422346	0.8537897	0.9618422	0.9086666	0.9248658	0.5145383	0.4535419	0.5269033	0.5783696	
1.001207	0.688825	1.047911	1.245478	0.9997225	0.3787574	0.3872221	0.7287124	0.5842227	0.4907586	0.7439634	0.6368129	0.6463087	0.6314995	0.4833906	1.172861	1.865821	0.9947263	0.8443636	1.110218	0.5132334	0.7061512	0.565666	0.7833348	0.649274	0.409163	0.4132462	0.3154728	0.2857209	0.4757386	
1.651741	2.477529	2.074559	1.782087	1.730776	0.5867777	1.055736	0.5990504	0.4455928	0.5557058	0.7975665	0.5238386	0.499334	0.4948594	0.521683	1.749007	1.539759	1.410787	3.025809	1.82028	0.9580081	0.6539459	1.050816	1.291909	2.291358	0.4195438	0.5779555	1.319501	1.900305	0.578396	
3.802846	1.535597	4.786077	1.065244	3.785425	1.147059	0.4014949	0.5718507	0.4789591	1.133921	0.8276073	0.4762259	0.3836177	0.4665741	0.5419888	4.359647	1.567273	1.259724	1.777724	0.7315454	0.4634297	0.5811977	0.5732885	0.4953375	0.6650043	1.292413	0.4314141	0.3482424	0.5222147	0.4537447	
3.434283	1.898172	1.705444	1.314035	1.8531	1.587482	0.7924765	2.754856	0.9095153	0.6036599	1.033872	0.6610861	1.322296	0.4121856	0.3221058	1.482314	1.377845	3.52377	1.971168	1.094995	0.8475204	0.6913454	1.167821	2.377671	0.5078583	0.636047	0.5646136	0.6469148	0.480863	0.5234436	
1.360595	1.845308	1.250143	1.290744	1.013222	1.223483	0.7717368	1.343969	0.6867365	0.6864197	0.7444812	1.518218	0.7475297	0.9175963	0.4921052	1.423779	1.43801	1.361865	1.07621	2.173841	1.029113	0.607747	1.132508	1.452206	0.9429713	0.2875908	0.2632707	0.3645877	0.3812532	0.3678485	
1.309962	1.985905	0.8287696	1.091508	1.726517	0.6980522	1.077437	0.8826311	0.9569049	0.5528088	0.3535362	0.904696	0.5877878	0.4261259	0.3659118	0.9725825	1.21859	1.000981	1.191073	2.005576	0.6638724	1.048992	0.5934425	0.5117128	0.5483161	0.8749816	0.5360255	0.5332867	0.6886726	0.3924398	
1.157942	1.024052	1.403537	1.806251	0.9914009	0.5892754	0.6619501	0.7390591	1.021728	0.5961691	0.7462945	0.5611993	0.4548532	0.3148951	0.4026106	1.26538	1.169498	1.272255	2.610956	0.7331671	1.188792	0.5019898	0.5982508	0.7579746	0.8140275	0.4000597	0.5579746	0.4184594	0.4125478	0.4626447	
1.265963	0.8657653	1.420135	1.293354	1.180843	0.5639349	0.7081257	0.6224601	1.118623	0.5353521	0.6977166	0.5016875	0.5790614	0.5962223	0.5967298	1.545445	0.7941918	0.7713616	2.130952	1.64095	1.050655	0.7751065	1.147908	0.4830127	0.8120016	0.6163153	0.4456971	0.5581677	0.3446008	0.3852068	
1.802787	1.292247	0.9335971	0.9797806	0.6651387	1.168892	0.4783455	0.4636335	0.4972812	0.797827	0.5985871	0.3761133	0.4411246	0.4270967	0.5702949	1.69267	1.426454	1.433658	1.265852	0.8861643	1.511293	0.4598602	0.8305231	0.7090129	0.4143969	0.2517559	0.4369675	0.4482739	0.3717892	0.3972094	
0.9185723	0.7526599	0.8552426	1.126374	1.286112	1.004011	1.248278	0.4558126	0.5370409	0.896145	0.6415063	0.3967242	0.5257184	0.6056276	0.4928299	1.660431	1.431826	3.526129	1.230178	2.298445	0.6832322	0.5532574	0.659963	0.6122459	0.7774968	0.3374652	0.3409661	0.3552884	0.3904235	0.4788757	
1.334877	2.492882	2.480859	1.443589	1.558516	1.215003	0.9590318	1.029309	1.37329	1.133284	0.6063293	0.8645979	0.8040808	0.5160637	1.370975	2.572352	1.621647	1.223634	1.141965	1.660731	1.101048	0.6127334	3.270609	0.9846672	1.542428	0.6922415	0.4341818	0.5567735	0.4778857	0.4908782	
1.531675	2.678987	1.179001	1.695858	1.758326	0.9642309	1.319619	1.253041	0.8998621	0.8388095	0.4992705	0.4552304	0.352757	0.5017311	0.8997443	1.715498	1.985834	4.9097	1.030131	1.124095	0.9331526	0.9825528	1.100505	1.021609	0.9484318	0.5914742	0.4728788	0.3784323	0.5206849	0.5702643	
1.491582	1.006488	0.8355631	0.865366	1.760034	0.3439845	0.5542495	0.8366437	0.6283375	0.5237291	0.3486683	0.3316904	0.3996207	0.3406559	0.55286	0.9771292	1.135209	2.00474	1.266433	1.272812	0.5430444	0.6045242	0.6182516	0.4560012	0.6354628	0.3767411	0.3530394	0.3742985	0.3899009	0.5004308	
2.787466	3.046748	1.528366	1.459702	1.552981	1.410193	0.7277088	1.708456	0.6324596	0.7274876	0.4608437	0.4657424	0.7917518	0.6506797	0.6778018	3.571096	1.571865	2.612844	1.497749	2.284865	0.4390546	0.7581868	1.065301	0.7419129	0.7523168	0.3160939	0.8673062	0.8270695	0.3751466	0.4292202	
1.407451	1.543361	2.54698	1.260145	1.687562	0.9291905	1.799754	0.7886409	0.9235248	0.9820737	0.8468155	0.9506371	0.451496	0.6462835	0.540875	1.37615	0.8851553	1.696735	2.146965	2.057638	0.7093624	0.8648641	0.7246009	0.6383038	0.5915143	0.8454434	0.6558537	0.7321123	0.4150814	0.5074468	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
