c0t0v0	c0t1v0	c0t2v0	c0t3v0	c0t4v0	c1t0v0	c1t1v0	c1t2v0	c1t3v0	c1t4v0	c2t0v0	c2t1v0	c2t2v0	c2t3v0	c2t4v0	c3t0v0	c3t1v0	c3t2v0	c3t3v0	c3t4v0	c4t0v0	c4t1v0	c4t2v0	c4t3v0	c4t4v0	c5t0v0	c5t1v0	c5t2v0	c5t3v0	c5t4v0	
7.46582	12.92261	11.29553	4.421997	10.6134	5.785767	5.220459	4.452393	3.174805	9.135864	4.135376	6.993774	4.828735	5.505005	5.915771	8.274658	12.08313	15.06567	13.88086	10.69263	5.440918	8.370605	7.388184	5.970703	2.866211	6.231079	10.24304	3.484253	8.557495	2.42627	
7.558594	9.730469	12.94775	13.26416	18.97852	3.252197	9.676025	9.262939	6.149902	4.560059	7.257324	8.873779	5.001465	6.47998	5.805176	13.32715	17.76172	19.48047	7.643066	11.7085	6.592285	7.91748	6.160645	9.794434	5.380371	6.977051	9.479492	7.801758	5.438965	4.238281	
4.057617	13.84424	11.39209	15.09033	9.925781	6.957031	5.693848	6.038086	5.967773	8.50293	10.61084	4.833496	4.305176	7.937012	15.00293	33.37061	10.49365	8.542969	8.099121	20.18652	9.148438	5.896484	6.123535	6.928223	6.669434	8.143066	3.450684	3.516602	4.876465	4.580078	
9.592407	6.792969	8.45575	14.41711	7.236877	4.137085	3.893433	11.45374	4.771973	7.080017	6.751068	8.730591	14.50687	12.45532	8.521942	9.49707	18.47119	9.402126	6.793724	16.33752	3.860443	6.673706	4.600632	7.025513	6.543259	5.104462	6.274933	4.650726	3.102142	7.818817	
28.20911	48.26819	36.82983	25.16528	21.3064	6.835693	14.64697	15.66699	5.685791	4.432617	8.635254	8.317139	3.35791	8.329346	4.299316	36.46289	23.36475	17.27539	50.51245	29.27686	16.32874	10.80115	11.93097	9.410645	32.79266	12.39502	10.24866	26.01697	22.53308	13.09094	
41.66504	22.54224	57.42017	9.739014	44.59375	8.219727	4.928223	12.54224	3.335449	9.468994	13.69141	13.2937	5.728271	5.643311	9.722168	46.7937	20.6687	12.65063	22.4585	9.307373	3.692627	5.527588	4.408447	3.03833	5.928467	17.54004	2.824463	8.444336	8.738525	5.368652	
24.52197	13.88428	18.59375	8.746582	15.86084	11.98779	5.754395	8.248535	9.844238	3.787598	11.9082	5.964844	16.94531	1.617188	2.70459	12.75781	11.07715	28.51416	20.13818	8.387207	6.754883	4.243164	8.869141	14.30762	3.60791	8.757813	13.88525	3.696777	9.161621	9.508301	
17.08057	13.97852	11.32373	9.850098	7.33252	8.734375	7.011719	13.93164	11.104	13.68555	5.853516	15.83643	7.463379	9.821289	3.405762	13.94141	13.32617	11.60596	12.39893	11.49365	11.18408	5.082031	11.68018	13.82861	10.57617	9.608398	7.751953	9.915527	3.32959	6.109863	
10.63232	14.02014	7.485229	9.876465	17.32458	7.138306	15.19229	8.399658	10.01813	7.699371	4.683474	11.50437	8.357082	6.198265	3.470123	21.27942	17.68419	12.90094	13.64832	26.72198	5.195465	8.389069	3.531342	3.421875	5.408264	16.62292	11.54163	7.431763	7.238586	5.697998	
9.506348	7.318848	10.11963	12.8252	5.059326	5.573242	5.127808	4.388794	5.830688	6.332275	7.883057	5.438599	4.255127	3.283203	4.814575	8.029541	9.014771	6.857178	23.14587	6.178589	7.653809	4.367554	6.101196	4.729004	5.597168	4.031006	8.468994	5.867554	3.864136	3.327881	
12.58398	7.160645	13.77661	10.50995	9.72876	5.030762	6.526123	7.172974	12.21191	6.018677	5.394714	5.327759	4.098267	6.588989	5.55542	17.95416	8.637695	6.913269	24.23724	17.42426	22.20831	8.600708	11.62852	5.00441	8.857452	17.71661	8.758514	9.594421	6.669159	11.65268	
56.84375	25.05859	16.48755	7.227051	10.50903	24.6275	6.903671	6.567169	9.873978	17.14386	14.64343	12.53534	5.78418	8.938171	15.93732	29.24203	18.78577	33.50131	24.98212	13.76251	33.39429	14.84839	18.50439	14.2937	11.18115	16.82996	42.65112	24.54077	29.20703	21.70532	
6.456055	7.45166	6.702637	8.578125	10.1084	6.425293	8.816895	4.925781	5.306641	9.038574	11.52637	4.321289	6.890625	8.968262	5.765625	9.158203	8.49707	19.79248	8.121094	13.13428	7.810547	6.179199	4.581543	3.428711	4.123535	3.606934	5.551758	5.786133	5.415527	6.53418	
6.256836	10.68994	11.99414	5.231445	4.714844	8.009277	6.244629	10.2334	6.666992	11.97363	5.183594	8.369141	9.474609	6.118652	5.17334	19.68994	7.607422	6.791016	5.643555	8.012695	9.185547	3.42627	9.033691	10.51074	5.717773	12.48828	5.637207	10.63379	9.362305	4.267578	
14.99951	16.40771	11.39404	10.37451	14.25781	8.298828	5.976074	12.00439	7.762695	6.978516	9.871582	5.68457	9.193359	6.893555	4.622559	28.21484	14.90674	51.79395	18.83496	14.88965	13.22607	10.27734	9.407227	10.68701	9.574219	8.030762	7.026367	5.220215	7.641602	5.026367	
14.6123	15.64941	12.57715	7.750977	14.37598	3.854492	4.608398	14.89551	7.257813	8.444336	6.419922	2.598633	7.129883	4.129883	12.36133	11.89746	12.51074	20.32813	14.2832	13.77344	8.925781	4.414063	7.495117	6.498047	9.353516	14.63184	6.286133	5.058594	4.657227	9.866211	
13.44824	21.34277	13.00098	7.273438	11.64453	8.37793	5.685547	14.69141	5.829102	8.244141	3.52832	5.573242	7.133789	6.746094	9.745117	27.30957	13.21582	18.45605	9.125977	16.15234	4.90332	8.55957	11.39453	6.669922	6.84668	9.34082	18.86621	9.503906	4.043945	5.764648	
15.41602	15.46973	24.95313	11.43848	15.01074	9.966797	9.964844	9.336914	9.25	9.650391	9.985352	16.89063	9.057617	9.820313	9.119141	12.44043	7.116211	16.12012	19.31055	22.78906	6.599609	8.947266	3.505859	9.595703	8.675781	18.50879	12.70898	12.24512	8.649414	8.186523	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
